code_geo;libelle_geo;annee;population_moins_25_ans_%;evolution_2019_2013_25_%;population_25_moins_de_50_ans;evolution_2019_2013_25_50_%;population_50_moins_65;evolution_2019_2013_50_65_%;population_65_et_plus;evolution_2019_2013_60_plus_%;population_totale;evolution_population_totale_%;part_de_femme_%;part_dep_region_%;tx_de_natalite;tx_de_mortalite;esperance_de_vie_a_la_naissance_hommes;esperance_de_vie_a_la_naissance_femmes
9;Ariege;2023;37510;-4,1;42300;-4,2;33560;0;39920;11,3;153290;0,4;51;2,6;7,8;13;79,9;85,1
11;Aude;2023;95740;-2,3;103250;-3,3;78080;2,8;97000;15,1;374070;2,5;51,9;6,3;8,5;12,7;79;85
12;Aveyron;2023;68160;-1,4;75490;-5,2;59880;0,8;76070;9,4;279600;0,7;50,6;4,7;8;12,8;81;86,2
30;Gard;2023;207790;-1,4;214250;-3,7;154730;2,4;171660;15,3;748440;2,1;51,8;12,6;9,9;10,8;79,5;85
31;Haute-Garonne;2023;443410;6,9;476650;4,5;248030;8,2;231940;17;1400040;7,8;51,3;23,6;11;7,3;81,3;86,4
32;Gers;2023;45330;-2,6;50610;-6,1;42840;0,9;52590;11,1;191380;0,6;51,2;3,2;7,8;12,9;80,6;85,7
34;Herault;2023;347510;5,1;357020;3,9;218390;5,7;252710;19,6;1175620;7,6;52,2;19,8;10,8;9,9;79,9;85,5
46;Lot;2023;38640;-5,3;44200;-6,7;39750;-0,3;51510;12,7;174090;0,2;51,5;2,9;7,1;13,2;79,9;85,5
48;Lozere;2023;19340;-2,2;21310;-6,3;16600;-0,5;19360;11,3;76600;0;50,1;1,3;8,2;14,6;78,6;84,7
65;Hautes-Pyrenees;2023;56500;-2,6;61720;-5,1;50100;0,2;61240;9,7;229570;0,3;51,9;3,9;7,9;13,2;79,3;85,3
66;Pyrenees-Orientales;2023;125900;-0,5;132860;-1,9;96440;4,4;124770;15,2;479980;3,7;52,5;8,1;9,3;12,7;78,2;85,1
81;Tarn;2023;102570;-0,8;108290;-3;80980;1,8;98000;12,2;389840;2,1;51,8;6,6;8,6;12,3;79,9;86,1
82;Tarn-et-Garonne;2023;73910;3,4;77370;-0,7;51870;3,3;57520;13,3;260670;4,1;51,1;4,4;10,2;10,5;79,3;85,3
